Activity or Task,Hazards & Risks,Current Risk Controls,Current Risk Rating - Consequence,Current Risk Rating - Likelihood,Current Risk Rating - Risk Rating,Additional Risk Control Measures,Residual Risk Rating - Consequence,Residual Risk Rating - Likelihood,Residual Risk Rating - Risk Rating,Responsibility
"Activity 1: Setting up HTC Vive Base Stations on Tripods
1. Transport base stations and tripods to the VXLab or testing area.","Manual Handling: Ergonomic from repeated bending/lifting/carrying equipment.","Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development.",2,C,Medium,"Prefer using equipment trolley to transport multiple tripods and base stations.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 1: Setting up HTC Vive Base Stations on Tripods
2. Extend tripod legs and position tripods at designated locations around the tracking area.","Physical Injury: Tripod legs creating tripping hazard for operators and bystanders.",None specific.,2,C,Medium,"Mark tripod leg positions with visible tape or cones on the floor. Ensure tripod legs are not placed in walkways or thoroughfares. Retract tripod legs when not in active use.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 1: Setting up HTC Vive Base Stations on Tripods
3. Mount base stations onto tripods using the 1/4"" mounting thread and clamping ring.","Physical Injury: Dropping the base station during mounting; pinch hazard from clamping ring. Equipment Damage: Base station falling and shattering if dropped.","Follow mounting instructions in the base station user guide.",2,C,Medium,"Ensure tripod is correctly set up and stable before mounting the base station. Mount base stations at or below eye level where practical.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 1: Setting up HTC Vive Base Stations on Tripods
4. Adjust base station angle (loosening clamping ring while holding the station).","Physical Injury: Dropping the base station during adjustment; pinch hazard from clamping ring. Equipment Damage: Base station falling and shattering.","Follow angle adjustment instructions in the base station user guide.",2,C,Medium,"Ensure the clamping ring is fully tightened before releasing grip on the base station. Use two hands when adjusting; one supporting the station, one operating the ring.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 1: Setting up HTC Vive Base Stations on Tripods
5. Connect power cables and plug adapters into power outlets.","Electrical: Electric shock; fire risk from damaged cables. Trip Hazard: Power cables across floor.","Use only supplied power cables and adapters. Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development.",3,C,Medium,"Route power cables along tripod legs and use cable covers or tape to secure cables to the floor. Position tripods near power outlets to minimise cable run length. Inspect cables for damage before each use.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 1: Setting up HTC Vive Base Stations on Tripods
6. Power on base stations and verify operational status (green LED).","Electrical: Electric shock from damaged units.","Inspect base station front panel for cracks or damage before powering on.",3,D,Low,"Visually inspect the base station unit and its power cable for cracks, damage, fraying, or exposed wiring before powering on. If any damage is found, tag the base station unit with a ""Do Not Use"" label and report it to the supervisor. Test the power cable for continuity with a multimeter if damage is suspected.",2,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
1. Connect dongle to dongle cradle via USB cable, and connect the other end of the USB cable to the computer.","Trip Hazard: USB cable routed across workspace.",None specific.,2,C,Medium,"Route USB cable along desk edges or use cable clips. Keep cable length as short as practical. Place dongle cradle in a location where the cable does not cross walkways.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
2. Place dongle at least 45 cm (18 in) from the computer.","RF Interference: Tracking dropout or degraded performance if dongle is too close to computer.","Follow dongle placement instructions in the tracker user manual (>=45 cm from computer).",2,C,Medium,"Mark the dongle cable at 45 cm from the dongle to indicate minimum distance. Ensure the dongle is placed on a stable surface where it will not be moved.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
3. Attach tracker to the Booster K1 robot using the 1/4"" screw mounting mechanism and stabilizing pin.","Physical Injury: Pinch hazard from docking mechanism. Equipment Damage: Dropping the tracker; over-tightening causing damage; stripping threads.","Follow tracker mounting instructions in the tracker user manual and v1 technical reference.",2,C,Medium,"Ensure the tracker is securely fastened before releasing grip. Do not over-tighten the 1/4"" screw; tighten only until snug. Verify the stabilizing pin is fully engaged in its recess.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
4. Verify tracker placement does not obstruct robot sensors or movement.","Equipment Damage: Accessory body obstructing robot sensors or limiting range of motion. Tracking Degradation: Accessory extending beyond recommended placing cone (270 deg FOV) blocking sensor view.","Follow placement guidelines in the tracker v1 technical reference.",2,C,Medium,"Visually inspect that the tracker's sensor dome has a clear line of sight to the base stations. Verify the tracker is within the 270 deg FOV cone. Test robot range of motion after mounting to ensure no obstruction.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
