Section,Subsection,Weight,Criteria / Elements,Excellent,Good,Fair,Poor,NN / Incomplete
Week 12 Update,Progress Demonstration,14%,"(1) Conduct live demonstration; (2) Project progress against the negotiated schedule; (3) Demonstration of the project; (4) Plan for completion.",Conduct demonstration of current project progress,Conduct demonstration of current project progress,Conduct demonstration of current project progress,"Describe the current project progress, without a demonstration",Project is substantially incomplete
,,,,"Project is ahead of or on-track according to the negotiated schedule","Project is on-track according to the negotiated schedule","Project is marginally behind the negotiated schedule","Project is very behind the negotiated schedule",
,,,,"Demonstrate a minimally viable solution to the project","Demonstrate substantial progress towards a minimally viable solution to the project","Demonstrate satisfactory progress towards a minimally viable solution to the project",No substantial live demonstration,
,,,,"Describe a feasible plan for completion of the project by the scheduled demonstration date.","Describe a feasible plan for completion of the project by the scheduled demonstration date.","Describe a plan for completion of as much of the project as possible by the scheduled demonstration date.","Describe a plan for completion of as much of the project as possible, by the scheduled demonstration date.",
Week 12 Update,"Extended Infrastructure, Architecture, and/or Implementation",4%,"(1) Progress of the extended infrastructure, robot software architecture, and/or implementation; (2) Plan for completion of the extended work.","Extended work is ahead of or on-track according to the negotiated schedule. Describes a feasible plan for completion of the extended work.","Extended work is on-track or marginally behind according to the negotiated schedule. Describes a plan for completion of as much of the extended work as possible.","Extended work is behind according to the negotiated schedule. Describes a plan for completion of as much of the extended work as possible.","Extended work and/or plan is substantially incomplete."
Week 12 Update,Risk Assessment,2%,"(1) Approved Activity Risk Assessment","Prepared an approved Activity Risk Assessment. Reasonable risks are captured.",,,"Activity Risk Assessment was not approved by the Week 12 update date."
Demonstration,Demonstration of Project Implementation,20%,"(1) Conduct live demonstration; (2) Quality of the demonstration towards the negotiated project requirements; (3) Delineation of work from existing literature, software and dependencies; (4) Preparedness of the demonstration, including setup time, configuration, restarts, and delays.","Excellent demonstration that clearly shows that the project meets the negotiated requirements.","Good demonstration that mostly shows that the project meets the negotiated requirements, but minor aspects of the project may have issues or errors.","Sufficient demonstration that shows that the project meets the majority of the negotiated requirements, but significant aspects of the requirements are missing.","A demonstration is conducted that shows that final state of the project, however, the demonstration does not meet minimal requirements.",Insufficient for Poor category
,,,,"Demonstration clearly distinguishes the student's work from existing literature, software and dependencies.","Demonstration distinguishes the student's work from existing literature, software and dependencies, with minor issues.","Demonstration may not satisfactorily distinguish the student's work from existing literature, software and dependencies, however, the work is satisfactorily original.","The student's work is not distinguished from existing literature, software and dependencies.",
,,,,"Demonstration is well-prepared, is conducted live, and fully ready to be conducted.","Demonstration is mostly well-prepared, and is conducted live. Minimal time is lost for issues.","Demonstration is prepared, and is conducted live. Significant time is lost for issues.","Demonstration is ill prepared, and not conducted live. Demonstration significantly depends on supplementary material or recordings.",
Demonstration,Demonstration of Evaluation and Results,10%,"(1) Quality of the demonstration and discussion of the evaluation of the work against the negotiated requirements.","Excellent discussion of the evaluation of the work, that clearly presents the strengths and weaknesses.","Good discussion of the evaluation of the work, that presents the strengths and weaknesses.","Satisfactory discussion of the evaluation of the work, with a minimally satisfactory coverage of the strengths and weaknesses.","Attempt at discussing of the evaluation of the work.",Insufficient for Poor category
,,,,"Conducts a demonstration of some results.","Conducts a demonstration of some results.","May conduct a demonstration of minimal results.",,
